,x1,y1,x,y,angle,size
58,124,145,-123,-66,-2.6524728480782644,140.470637501223
59,145,145,-155,-62,-2.761086276477428,166.94010902116963
60,166,145,-288,-119,-2.746801533890032,312.0
61,187,145,-214,-56,-2.885649517585111,221.20578654275752
62,208,145,-182,-48,-2.8837281057887965,188.22327167489146
63,229,145,-402,-107,-2.879133253763517,416.25472970285875
64,250,145,-470,-102,-2.927885326901724,480.9407447908734
65,271,145,-422,-97,-2.9134097233747465,433.22973120505014
66,292,145,-338,-76,-2.920419016647999,346.4390278245221
67,313,145,-179,-74,-2.7515445813263435,194.6175737183053
68,334,145,-165,-49,-2.8473580884786056,172.40939649566667
69,355,145,-132,-83,-2.580274106335264,155.92626462530293
70,376,145,-74,-52,-2.52905509697949,90.44335243676011
71,397,145,-67,-103,-2.1543045785810033,123.42204017111368
72,418,145,-40,-93,-1.9860236623501282,101.6366075781753
73,439,145,-14,-40,-1.9074711461816238,42.37924020083418
74,460,145,-12,-45,-1.8313987185422376,46.57252408878007
75,481,145,-14,-104,-1.7140392756065834,105.07616285342742
76,502,145,-4,-92,-1.6142472221864275,92.0869154657707
77,523,145,17,-111,-1.4188240463665929,112.29425630903836
78,544,145,34,-127,-1.309214023553264,131.47243057006287
79,565,145,13,-72,-1.3921653202809472,73.16419889536138
80,586,145,9,-104,-1.4844729258544338,104.38869670610895
81,607,145,-5,-29,-1.7415315382701795,29.427877939124322
82,40,166,-32,-21,-2.5748634360662868,39.11521443121589
83,61,166,-100,-71,-2.5175696006130366,123.2233744059949
84,82,166,-76,-43,-2.6322915095877812,88.19297024139736
85,103,166,-172,-96,-2.63252176516741,196.9771560359221
86,124,166,-154,-84,-2.642245931909663,175.41949720598336
87,145,166,-176,-73,-2.7504174281350666,191.4627901186024
88,166,166,-243,-40,-2.974442644624352,246.43457549621561
89,187,166,-368,-41,-3.0279539266410835,370.3889847174184
90,208,166,-420,-59,-3.0020297061172947,424.1238026803023
91,229,166,-238,-48,-2.938547436336328,242.99176940793694
92,250,166,-99,-17,-2.961739153797315,100.62305898749054
93,271,166,-75,-47,-2.5722794624891314,89.04493247793498
94,292,166,-81,-42,-2.668236611754878,92.13034245024816
95,313,166,-90,-76,-2.4457744642059813,118.56221995222593
96,334,166,-103,-117,-2.2926438187668876,155.87815754620658
97,355,166,-11,-19,-2.1341125882868646,22.47220505424423
98,376,166,-89,-108,-2.2600451796317267,139.94641831786907
99,397,166,-11,-26,-1.9710369838288708,28.231188426986208
100,418,166,-59,-111,-2.05564217340178,126.58988901172162
101,439,166,-7,-18,-1.9890206563741257,19.697715603592208
102,460,166,-5,-23,-1.776191715984664,24.515301344262525
103,481,166,1,-69,-1.5418189329433354,69.02897942168927
104,502,166,0,-32,-1.5707963267948966,32.0
105,523,166,1,-71,-1.5567127509720364,71.00704190430693
106,544,166,7,-67,-1.4666963886852973,67.36467917239716
107,565,166,4,-65,-1.4940244355251187,65.19202405202648
108,586,166,-28,-147,-1.7655740915774598,149.83324063771698
109,607,166,0,-50,-1.590793660768047,50.00999900019995
110,40,187,-29,-24,-2.4301335278502854,38.28837943815329
111,61,187,-125,-69,-2.6311043316730176,143.26548781894402
112,82,187,-129,-75,-2.6149653821560426,149.21796138535066
113,103,187,-113,-41,-2.7935323819402287,120.20815280171308
114,124,187,-93,-40,-2.7263653180345617,101.6366075781753
115,145,187,-189,-52,-2.873103471705657,196.02295783912658
116,166,187,-326,-77,-2.9103315415344593,335.9434476217686
117,187,187,-162,-4,-3.1169063115341937,162.04937519163718
118,208,187,-79,-44,-2.6387494426619322,91.30169768410661
119,229,187,-127,-87,-2.5409781061621692,153.9415473483361
120,250,187,-90,-60,-2.5535900500422257,108.16653826391968
121,271,187,-44,-28,-2.5748634360662868,52.15361924162119
122,292,187,-36,-37,-2.3291740410050803,52.3450093132096
123,313,187,-70,-53,-2.48451771787814,88.40814442120137
124,334,187,-74,-76,-2.33632955394118,106.7941945987702
125,355,187,-22,-22,-2.333975924865626,31.827660925679098
126,376,187,-6,-7,-2.279422598922567,9.219544457292887
127,397,187,-37,-41,-2.304957322788926,55.226805085936306
128,418,187,-37,-71,-2.05120214337794,80.06247560499239
129,439,187,-24,-44,-2.0874914655571737,50.60632371551998
130,460,187,-17,-41,-1.9638543459768292,44.384682042344295
131,481,187,-13,-78,-1.7359450042095235,79.07591289387686
132,502,187,1,-58,-1.5535566556003668,58.008620049092706
133,523,187,2,-18,-1.4056476493802699,18.24828759089466
134,544,187,9,-26,-1.2036224929766774,27.85677655436824
135,565,187,-4,-135,-1.6004172902240228,135.05924625881784
136,586,187,-3,-184,-1.5925320336366893,184.04347312523745
137,607,187,-8,-29,-1.8399638195805972,30.083217912982647
138,40,208,-46,-39,-2.4489508103804885,61.07372593840988
139,61,208,-82,-38,-2.697646928501796,90.80198235721508
140,82,208,-116,-53,-2.705909780558853,127.9531164137865
141,103,208,-94,-40,-2.7302989061122624,102.55242561733974
142,124,208,-127,-45,-2.8035265307529675,135.67977004697494
143,145,208,-134,-32,-2.9001289144761677,138.00362314084367
144,166,208,-131,-7,-3.088208310099058,131.18688958886096
145,187,208,-122,-51,-2.7456380672829557,132.23085872821065
146,208,208,-156,-76,-2.6882539577352302,173.5280957078709
147,229,208,-79,-53,-2.5419963666207757,95.69221493935649
148,250,208,-99,-62,-2.582085897478974,116.81181447096864
149,271,208,-154,-99,-2.5731953808994303,183.91846019364124
150,292,208,-85,-68,-2.4597191647028893,109.48059188732951
151,313,208,-36,-32,-2.399645385583876,48.83646178829912
152,334,208,-95,-68,-2.513422541168914,117.41379816699569
153,355,208,-52,-51,-2.375422889292052,73.55270219373317
154,376,208,-14,-19,-2.1815222911841055,24.413111231467404
155,397,208,-25,-23,-2.376599820878883,34.655446902326915
156,418,208,-13,-14,-2.356194490192345,19.79898987322333
157,439,208,-34,-61,-2.0724003809840172,70.71067811865476
158,460,208,-6,-16,-1.9832067683922838,17.46424919657298
159,481,208,-14,-54,-1.8200484681801103,56.753854494650845
160,502,208,3,-62,-1.5224469401429936,62.07253821135398
161,523,208,0,-2,-1.5707963267948966,2.0
162,544,208,26,-45,-1.0303768265243125,52.478567053607705
163,565,208,-13,-66,-1.7798192696011612,67.468511173732
164,586,208,-52,-223,-1.8041353039671368,229.21169254643183
165,607,208,10,-36,-1.299849476456476,37.36308338453881
166,40,229,-50,-32,-2.5582196465959375,59.90826320300064
167,61,229,-57,-24,-2.7282622490504655,62.24146527838174
168,82,229,-100,-59,-2.6129028206257305,116.9700816448377
169,103,229,-115,-48,-2.7492525093742772,125.53883861180172
170,124,229,-71,-22,-2.828316472596122,74.63243262818116
171,145,229,-109,2,3.114076664304339,109.04127658827184
172,166,229,-34,-7,-2.9105019863938963,34.92849839314596
173,187,229,-9,-3,-2.819842099193151,9.486832980505138
174,208,229,-30,-11,-2.7901478595862415,31.953090617340916
175,229,229,-26,-13,-2.647651284670212,29.5296461204668
176,250,229,-95,-49,-2.6653934025194195,106.89246933250256
177,271,229,-91,-51,-2.6307697716319702,104.31682510506155
178,292,229,-97,-57,-2.610319239747979,112.50777750893491
179,313,229,-108,-73,-2.551475888287244,131.18688958886096
180,334,229,-11,-5,-2.714965160462917,12.083045973594572
181,355,229,-32,-30,-2.403777593469328,44.598206241955516
182,376,229,-22,-16,-2.5337906574758327,28.0178514522438
183,397,229,-17,-15,-2.38648825011112,23.345235059857504
184,418,229,-19,-28,-2.191045812777718,34.40930106817051
185,439,229,-14,-15,-2.321725389192837,20.518284528683193
186,460,229,0,-5,-1.5707963267948966,5.0
187,481,229,-12,-44,-1.8580777801920307,45.880278987817846
188,502,229,4,-44,-1.4801364395941514,44.181444068749045
189,523,229,-2,1,2.677945044588987,2.23606797749979
190,544,229,13,-37,-1.2329181385546182,39.21734310225516
191,565,229,50,-62,-0.8921338360465839,79.64923100695951
192,586,229,-6,-276,-1.5961532096529938,276.08875384557047
193,607,229,4,-41,-1.449444326224133,41.30375285612676
194,40,250,-76,-43,-2.616796881939686,87.8179936004006
195,61,250,-108,-33,-2.847612735786572,113.8859078200635
