,Unnamed: 0,x1,y1,x,y,angle,size
49,49,292,124,102,-74,-0.6276294258014944,126.01587201618692
50,50,313,124,97,-55,-0.5114199986658374,112.37882362794157
51,51,334,124,136,-85,-0.5585993153435624,160.37767924496225
52,52,355,124,123,-69,-0.5112307122777895,141.0319112825179
53,53,376,124,111,-76,-0.6064809929193543,135.09256086106294
54,54,397,124,127,-73,-0.5216863289351822,146.48549416239138
55,55,418,124,122,-72,-0.53315570550763,141.66156853571826
56,56,439,124,125,-82,-0.5824879535685713,150.88074761214563
57,57,460,124,156,-94,-0.5423027372156047,182.1318203939114
58,58,481,124,140,-79,-0.5137449322017106,160.75136080294936
59,59,502,124,124,-81,-0.5786395812838293,148.11144452742334
60,60,523,124,139,-82,-0.5329807426890147,161.38463371709216
61,61,544,124,161,-107,-0.5837169155006312,194.14685163555959
62,62,565,124,121,-82,-0.595592590623785,146.1677118928801
