,x1,y1,x,y,angle,size
70,271,40,16,-26,-1.0358412530088001,31.38470965295043
71,292,40,28,-7,-0.27829965900511133,29.120439557122072
72,313,40,18,-4,-0.25732371497108864,19.6468827043885
73,355,40,19,-3,-0.19739555984988075,20.396078054371138
74,376,40,25,1,0.039978687123290044,25.019992006393608
75,397,40,4,0,-0.19739555984988075,5.0990195135927845
76,418,40,6,0,-0.16514867741462683,6.082762530298219
77,439,40,3,2,0.7853981633974483,4.242640687119285
78,460,40,5,-74,-1.5042281630190728,75.16648189186454
79,481,40,-50,-327,-1.725513191871961,330.9531688925187
80,502,40,-11,-113,-1.6678357127768961,113.53413583587978
81,523,40,23,-2,-0.12435499454676144,24.186773244895647
82,544,40,30,-22,-0.6327488350021832,37.20215047547655
83,565,40,14,-13,-0.7853981633974483,19.79898987322333
84,586,40,44,-43,-0.7853981633974483,62.22539674441618
85,607,40,-6,-12,-2.0344439357957027,13.416407864998739
86,628,40,15,-35,-1.1420182993488803,38.48376280978771
87,649,40,5,-18,-1.299849476456476,18.681541692269406
88,670,40,0,-10,-1.4711276743037347,10.04987562112089
89,691,40,-4,-11,-1.9974238199217726,12.083045973594572
90,712,40,-3,-25,-1.690225252813235,25.179356624028344
91,733,40,-13,-6,-2.647651284670212,14.7648230602334
92,754,40,-26,-12,-2.723368324010564,29.546573405388315
93,775,40,-40,-31,-2.4668517113662407,51.22499389946279
94,796,40,-83,-122,-2.1681971498692487,147.5567687366459
95,817,40,-94,-194,-2.021996445926842,215.5736533067063
96,838,40,-40,-59,-2.1781015519611473,71.84705978674423
97,859,40,-30,-187,-1.729868690104138,189.39112967612817
98,880,40,-50,-66,-2.2119050956546027,83.60023923410746
99,901,40,-65,-9,-2.988943325194528,65.76473218982953
100,922,40,-22,-3,-3.0060649396042924,22.20360331117452
101,943,40,-34,-4,-2.995580395878518,34.36568055487916
102,964,40,-47,-42,-2.4227626539681686,63.7808748764079
103,985,40,-32,-44,-2.214297435588181,55.0
104,1006,40,-120,-143,-2.2730532583039036,187.32325002519042
105,1027,40,-16,-22,-2.1995926132103296,27.202941017470888
106,1069,40,-23,-8,-2.7686049317897323,24.698178070456937
107,1090,40,-83,-41,-2.6827759248829635,92.57429448826494
108,1111,40,-156,-84,-2.647651284670212,177.17787672280082
109,1132,40,-117,-58,-2.6813696887348812,130.58713566044705
110,1153,40,-42,16,2.7569879387675797,45.31004303683677
111,1174,40,2,1,0.4636476090008061,2.23606797749979
112,1195,40,-65,-41,-2.585721844435635,77.69813382572325
113,1216,40,-91,-59,-2.558679064634059,109.0
114,1237,40,-53,-36,-2.532134115644873,64.63745044476924
115,1258,40,-142,-58,-2.753822481714474,153.3883959105121
116,19,61,21,-10,-0.4444192099010989,23.259406699226016
117,40,61,30,-10,-0.3217505543966422,31.622776601683793
118,61,61,13,-7,-0.5191461142465229,16.1245154965971
119,103,61,15,-2,-0.13255153229667402,15.132745950421556
120,124,61,35,-11,-0.3045108832021125,36.68787265568828
121,145,61,-22,71,1.8712734951674777,74.33034373659252
122,166,61,-3,0,3.141592653589793,3.0
123,187,61,24,-13,-0.5280744484263596,27.784887978899608
124,208,61,15,1,0.06656816377582381,15.033296378372908
125,229,61,33,-8,-0.23783592745745075,33.95585369269929
126,250,61,53,-5,-0.11272761159037756,53.33854141237835
127,271,61,29,-26,-0.714090698612158,39.698866482558415
128,292,61,43,1,0.023251622810462915,43.01162633521314
129,313,61,38,-3,-0.10487693873023389,38.2099463490856
130,334,61,36,-5,-0.16514867741462683,36.49657518178932
131,355,61,36,-2,-0.05549850524571683,36.05551275463989
132,376,61,40,-1,-0.02499479361892016,40.01249804748511
133,397,61,30,2,0.0964737751825869,31.144823004794873
134,418,61,43,-1,-0.023251622810462915,43.01162633521314
135,439,61,25,4,0.1586552621864014,25.317977802344327
136,460,61,18,-94,-1.371355780020662,95.90099061010788
137,481,61,-21,-351,-1.6333925046499376,351.6887828748594
138,502,61,5,-105,-1.513715544388632,105.17128885774862
139,523,61,24,0,0.0,24.0
140,544,61,19,-18,-0.7583777142101835,26.1725046566048
141,565,61,43,-19,-0.4353532751523024,47.4236228055175
142,586,61,32,-16,-0.4636476090008061,35.77708763999664
143,607,61,41,-93,-1.1595025793173657,102.55242561733974
144,628,61,1,1,0.7853981633974483,1.4142135623730951
145,649,61,4,0,0.0,4.0
146,670,61,-8,27,1.8588517738455226,28.160255680657446
147,691,61,-5,-10,-2.0344439357957027,11.180339887498949
148,712,61,-6,-61,-1.668841604088736,61.29437168288782
149,733,61,-19,-17,-2.4116929954380617,25.495097567963924
150,754,61,0,23,1.5707963267948966,23.0
151,775,61,-19,-23,-2.2404352724715344,30.610455730027933
152,796,61,-34,-143,-1.8108326907889114,147.220922426128
153,817,61,-73,-261,-1.8470706721135246,271.2876701953113
154,838,61,42,-104,-1.17873930827963,112.53888216967503
155,859,61,16,-195,-1.4889284388702053,195.65530915362353
156,880,61,-8,-6,-2.498091544796509,10.0
157,901,61,-5,0,3.141592653589793,5.0
158,922,61,-2,3,2.356194490192345,4.242640687119285
159,943,61,-4,7,2.191045812777718,8.602325267042627
160,964,61,-29,-27,-2.3737365502497476,40.311288741492746
161,985,61,-57,-61,-2.3223091602882273,83.48652585896721
162,1006,61,-56,-73,-2.2251665727654513,92.00543462209176
163,1027,61,-89,-135,-2.158798930342464,162.24980739587951
164,1048,61,-6,-7,-2.279422598922567,9.219544457292887
165,1069,61,4,2,0.4636476090008061,4.47213595499958
166,1090,61,-15,-13,-2.459276098715045,20.615528128088304
167,1111,61,-44,-17,-2.7728967509317433,47.16990566028302
168,1132,61,-38,-21,-2.636731281930667,43.41658669218482
169,1153,61,-129,-44,-2.8128816547568243,136.2974687952788
170,1174,61,-78,-10,-3.0140830953745548,78.63841300535
171,1195,61,-56,-37,-2.5453935122923133,67.67569726275453
172,1216,61,-14,-13,-2.427501954977635,19.849433241279208
173,1237,61,-95,-57,-2.601173153319209,110.78808600206071
174,1258,61,-78,-77,-2.3626460135853136,109.60383204979651
175,19,82,-6,0,3.141592653589793,6.0
176,40,82,1,-7,-1.446441332248135,8.06225774829855
177,61,82,46,-29,-0.5624979310690725,54.378304497290095
178,82,82,5,-1,-0.3805063771123649,5.385164807134504
179,103,82,44,-4,-0.09065988720074511,44.181444068749045
180,124,82,43,-7,-0.16137511042069147,43.56604182158393
181,145,82,-24,60,1.965587446494658,65.0
182,166,82,17,22,0.9129077216126865,27.80287754891569
